candidate_rank,frame_index,folder_name,timestamp,oe,le,total_occ,total_le,fop,flp,v2x_gen_score
587,966,trans_M1,001939,2,1,8,5,0.84833468,0.6017626672120719,0.84833468
588,503,trans_M1,001000,4,2,11,16,0.84826276,1.5606860500180422,0.84826276
589,360,trans_M1,000722,5,0,17,2,0.84772472,0.8355976753113603,0.84772472
590,1868,trans_M2,001738,1,0,7,0,0.8458,0.1808279572448858,0.8458
591,972,trans_M1,001949,2,1,10,4,0.8436678000000001,0.5512310414531305,0.8436678000000001
592,2238,trans_M3,000501,4,6,7,17,0.8431606399999999,1.9676433566586615,0.8431606399999999
593,1396,trans_M2,000807,3,0,11,3,0.84230432,0.5480239103482718,0.84230432
594,1862,trans_M2,001728,3,0,8,5,0.8418354000000001,0.43736728305026995,0.8418354000000001
595,1847,trans_M2,001696,1,0,8,5,0.8418,0.23456729616284927,0.8418
596,2336,trans_M3,000683,3,0,15,1,0.8412888000000001,1.0129488491903755,0.8412888000000001
597,214,trans_M1,000440,2,0,4,2,0.8400000000000001,0.2955474002621448,0.8400000000000001
598,1962,trans_M2,001939,2,0,8,4,0.83884048,0.3517048167923513,0.83884048
599,359,trans_M1,000721,6,0,18,2,0.83804864,0.9388890010051132,0.83804864
600,730,trans_M1,001455,3,0,9,14,0.83738488,0.39278186909556934,0.83738488
601,1971,trans_M2,001955,2,1,10,4,0.835849,0.5510883614563087,0.835849
602,2625,trans_M3,001269,1,0,2,0,0.8326,0.03705282993311798,0.8326
603,1643,trans_M2,001292,1,0,3,0,0.8288,0.0598748632030125,0.8288
604,970,trans_M1,001947,2,2,10,4,0.82608192,0.7484861119171978,0.82608192
605,1661,trans_M2,001326,1,0,7,3,0.8252,0.3787749695065383,0.8252
606,2817,trans_M3,001642,1,2,9,5,0.8236,0.48224641764277226,0.8236
607,353,trans_M1,000708,6,0,18,0,0.82228612,0.997580098303345,0.82228612
608,916,trans_M1,001831,1,2,7,4,0.8212,0.4819596422340816,0.8212
609,2387,trans_M3,000796,3,1,9,4,0.8211020000000001,1.0494131585500381,0.8211020000000001
610,541,trans_M1,001080,3,6,7,12,0.82062568,1.4862000040194472,0.82062568
611,1966,trans_M2,001947,2,2,11,4,0.8203855200000001,0.7484861119171978,0.8203855200000001
612,1525,trans_M2,001060,1,3,5,11,0.8202,1.1291905468238794,0.8202
613,2388,trans_M3,000797,3,0,12,4,0.8187659199999999,0.8294018945455687,0.8187659199999999
614,838,trans_M1,001666,1,1,8,5,0.8186,0.2845384391193362,0.8186
615,2229,trans_M3,000485,2,2,11,6,0.81737956,0.9161847420083814,0.81737956
616,1486,trans_M2,000975,3,3,6,10,0.8168,1.8800513083283392,0.8168
617,395,trans_M1,000796,3,0,12,4,0.816637,0.8597479232633048,0.816637
618,956,trans_M1,001913,2,0,8,4,0.81601292,0.35238387502409796,0.81601292
619,668,trans_M1,001329,3,2,10,3,0.8131999999999999,0.7319342887430285,0.8131999999999999
620,1967,trans_M2,001948,2,2,9,4,0.8128958,0.7486738284184964,0.8128958
621,2295,trans_M3,000617,4,1,18,1,0.81240592,1.0084406650421338,0.81240592
622,976,trans_M1,001957,2,1,10,4,0.8116101200000001,0.5510750909241195,0.8116101200000001
623,2923,trans_M3,001858,2,1,10,5,0.81115136,0.5520672832300304,0.81115136
624,2830,trans_M3,001669,1,1,8,5,0.8106,0.2846877292027845,0.8106
625,2495,trans_M3,001000,4,2,9,17,0.8092116,1.4453910230989464,0.8092116
